KANA,10/01/2543,16.07,1.3,15.04
KANA,11/01/2543,19.50,1.7,15.04
KANA,01/01/2544,19.90,1.7,13.44
KANA,02/01/2544,14.60,2.0,12.94
KANA,03/01/2544,14.21,1.8,13.34
KANA,04/01/2544,25.00,2.6,14.54
KANA,05/01/2544,21.40,2.9,14.54
KANA,06/01/2544,14.48,2.2,14.04
KANA,07/01/2544,14.90,1.9,13.64
KANA,08/01/2544,16.91,0.9,14.14
KANA,09/01/2544,14.40,1.1,13.64
KANA,10/01/2544,23.31,0.4,12.79
KANA,11/01/2544,28.20,0.4,11.79
KANA,12/01/2544,13.28,0.0,11.2
KANA,01/01/2545,11.73,0.1,11.69
KANA,02/01/2545,17.50,-0.2,11.99
KANA,03/01/2545,23.00,0.3,12.89
KANA,04/01/2545,19.66,0.7,13.49
KANA,05/01/2545,17.55,0.6,13.29
KANA,06/01/2545,22.80,0.6,12.79
KANA,07/01/2545,19.29,0.4,12.79
KANA,08/01/2545,17.14,0.1,13.39
KANA,09/01/2545,17.98,0.7,14.29
KANA,10/01/2545,25.93,2.2,14.39
KANA,11/01/2545,16.36,1.7,13.59
KANA,12/01/2545,30.25,2.1,14.59
KANA,01/01/2546,27.48,3.3,14.79
KANA,02/01/2546,15.71,2.4,14.79
KANA,04/01/2546,22.92,1.7,14.49
KANA,05/01/2546,20.08,1.9,12.79
KANA,06/01/2546,21.69,1.3,12.79
KANA,07/01/2546,20.00,1.1,13.19
KANA,08/01/2546,20.08,1.3,13.99
KANA,09/01/2546,15.89,0.7,13.29
KANA,10/01/2546,20.97,1.0,14.09
KANA,11/01/2546,15.00,1.8,14.39
KANA,12/01/2546,13.50,2.2,14.39
KANA,01/01/2547,16.80,2.6,14.59
KANA,05/01/2547,27.50,2.9,14.59
KANA,06/01/2547,29.19,3.2,14.59
KANA,07/01/2547,17.66,2.9,14.59
KANA,08/01/2547,16.50,3.0,14.59
KANA,10/01/2547,22.35,2.9,14.59
KANA,11/01/2547,13.05,2.6,14.59
KANA,12/01/2547,16.50,2.8,14.59
KANA,01/01/2548,16.50,2.7,14.59
KANA,02/01/2548,21.55,3.2,15.19
KANA,03/01/2548,19.85,4.0,18.19
KANA,04/01/2548,20.59,4.1,18.19
KANA,05/01/2548,30.45,4.0,18.19
KANA,06/01/2548,27.89,4.2,20.99
KANA,07/01/2548,20.45,6.5,22.59
KANA,08/01/2548,24.20,6.9,23.39
